id,code,name,state_id/id,l10n_cl_sii_regional_office,country_id/id
city_cl_08306,CL08306,Nacimiento,state_cl_083,ur_Log,base.cl
city_cl_06305,CL06305,Nancagua,state_cl_063,ur_SaD,base.cl
city_cl_12401,CL12401,Natales,state_cl_124,ur_PuN,base.cl
city_cl_06205,CL06205,Navidad,state_cl_062,ur_Coy,base.cl
city_cl_08307,CL08307,Negrete,state_cl_083,ur_Log,base.cl
city_cl_08408,CL08408,Ninhue,base.state_cl_16,ur_Chi,base.cl
city_cl_08409,CL08409,Ñiquén,base.state_cl_16,ur_Chi,base.cl
city_cl_05506,CL05506,Nogales,state_cl_055,ur_Qui,base.cl
city_cl_09111,CL09111,Nueva Imperial,state_cl_091,ur_Tem,base.cl
city_cl_13120,CL13120,Ñuñoa,state_cl_131,ur_SaC,base.cl
city_cl_11302,CL11302,Ohiggins,state_cl_113,ur_Coc,base.cl
city_cl_06111,CL06111,Olivar,state_cl_061,ur_Ran,base.cl
city_cl_02202,CL02202,Ollague,state_cl_022,ur_Cal,base.cl
city_cl_05507,CL05507,Olmué,state_cl_055,ur_Qui,base.cl
city_cl_10301,CL10301,Osorno,state_cl_103,ur_Oso,base.cl
city_cl_04301,CL04301,Ovalle,state_cl_043,ur_Ova,base.cl
city_cl_13604,CL13604,Padre Hurtado,state_cl_136,ur_SaP,base.cl
city_cl_09112,CL09112,Padre Las Casas,state_cl_091,ur_Tem,base.cl
city_cl_04105,CL04105,Paihuano,state_cl_041,ur_LaS,base.cl
city_cl_14107,CL14107,Paillaco,state_cl_141,ur_Vld,base.cl
city_cl_13404,CL13404,Paine,state_cl_134,ur_SaS,base.cl
city_cl_10404,CL10404,Palena,state_cl_104,ur_Cha,base.cl
city_cl_06306,CL06306,Palmilla,state_cl_063,ur_SaZ,base.cl
city_cl_14108,CL14108,Panguipulli,state_cl_141,ur_Pan,base.cl
city_cl_05704,CL05704,Panquehue,state_cl_057,ur_SaF,base.cl
city_cl_05403,CL05403,Papudo,state_cl_054,ur_LaL,base.cl
city_cl_06206,CL06206,Paredones,state_cl_062,ur_Pic,base.cl
city_cl_07404,CL07404,Parral,state_cl_074,ur_Par,base.cl
city_cl_13121,CL13121,Pedro Aguirre Cerda,state_cl_131,ur_SaS,base.cl
city_cl_07106,CL07106,Pelarco,state_cl_071,ur_Tac,base.cl
city_cl_07203,CL07203,Pelluhue,state_cl_072,ur_Cau,base.cl
city_cl_08410,CL08410,Pemuco,base.state_cl_16,ur_Chi,base.cl
city_cl_13605,CL13605,Peñaflor,state_cl_136,ur_SaP,base.cl
city_cl_13122,CL13122,Peñalolén,state_cl_131,ur_SaS,base.cl
city_cl_07107,CL07107,Pencahue,state_cl_071,ur_Tac,base.cl
city_cl_08107,CL08107,Penco,state_cl_081,ur_Cop,base.cl
city_cl_06307,CL06307,Peralillo,state_cl_063,ur_SaZ,base.cl
city_cl_09113,CL09113,Perquenco,state_cl_091,ur_Tem,base.cl
city_cl_05404,CL05404,Petorca,state_cl_054,ur_LaL,base.cl
city_cl_06112,CL06112,Peumo,state_cl_061,ur_SaV,base.cl
city_cl_01405,CL01405,Pica,state_cl_014,ur_Iqu,base.cl
city_cl_06113,CL06113,Pichidegua,state_cl_061,ur_SaV,base.cl
city_cl_06201,CL06201,Pichilemu,state_cl_062,ur_Pic,base.cl
city_cl_08411,CL08411,Pinto,base.state_cl_16,ur_Chi,base.cl
city_cl_13202,CL13202,Pirque,state_cl_132,ur_SaS,base.cl
city_cl_09114,CL09114,Pitrufquén,state_cl_091,ur_Tem,base.cl
city_cl_06308,CL06308,Placilla,state_cl_063,ur_SaD,base.cl
city_cl_08412,CL08412,Portezuelo,base.state_cl_16,ur_Chi,base.cl
city_cl_12301,CL12301,Porvenir,state_cl_123,ur_Por,base.cl
city_cl_01401,CL01401,Pozo Almonte,state_cl_014,ur_Iqu,base.cl
city_cl_12302,CL12302,Primavera,state_cl_123,ur_Por,base.cl
city_cl_13123,CL13123,Providencia,state_cl_131,ur_SaO,base.cl
city_cl_05105,CL05105,Puchuncaví,state_cl_051,ur_Vlp,base.cl
city_cl_09115,CL09115,Pucón,state_cl_091,ur_ViR,base.cl
city_cl_13124,CL13124,Pudahuel,state_cl_131,ur_SaP,base.cl
city_cl_13201,CL13201,Puente Alto,state_cl_132,ur_SaS,base.cl
city_cl_10101,CL10101,Puerto Montt,state_cl_101,ur_PuM,base.cl
city_cl_10302,CL10302,Puerto Octay,state_cl_103,ur_Oso,base.cl
city_cl_10109,CL10109,Puerto Varas,state_cl_101,ur_PuV,base.cl
city_cl_06309,CL06309,Pumanque,state_cl_063,ur_SaZ,base.cl
city_cl_04304,CL04304,Punitaqui,state_cl_043,ur_Ova,base.cl
city_cl_12101,CL12101,Punta Arenas,state_cl_121,ur_PuA,base.cl
city_cl_10206,CL10206,Puqueldón,state_cl_102,ur_Cas,base.cl
city_cl_09208,CL09208,Purén,state_cl_092,ur_Ang,base.cl
city_cl_10303,CL10303,Purranque,state_cl_103,ur_Oso,base.cl
city_cl_05705,CL05705,Putaendo,state_cl_057,ur_SaF,base.cl
city_cl_15201,CL15201,Putre,state_cl_152,ur_Ari,base.cl
city_cl_10304,CL10304,Puyehue,state_cl_103,ur_Oso,base.cl
city_cl_10207,CL10207,Queilén,state_cl_102,ur_Cas,base.cl
city_cl_10208,CL10208,Quellón,state_cl_102,ur_Cas,base.cl
city_cl_10209,CL10209,Quemchi,state_cl_102,ur_Anc,base.cl
city_cl_08308,CL08308,Quilaco,state_cl_083,ur_Log,base.cl
city_cl_13125,CL13125,Quilicura,state_cl_131,ur_SaN,base.cl
city_cl_08309,CL08309,Quilleco,state_cl_083,ur_Log,base.cl
city_cl_08413,CL08413,Quillón,base.state_cl_16,ur_Chi,base.cl
city_cl_05501,CL05501,Quillota,state_cl_055,ur_Qui,base.cl
city_cl_05106,CL05106,Quilpué,state_cl_051,ur_ViA,base.cl
city_cl_10210,CL10210,Quinchao,state_cl_102,ur_PuM,base.cl
city_cl_06114,CL06114,Quinta de Tilcoco,state_cl_061,ur_Ran,base.cl
city_cl_13126,CL13126,Quinta Normal,state_cl_131,ur_SaP,base.cl
city_cl_05107,CL05107,Quintero,state_cl_051,ur_Vlp,base.cl
city_cl_08414,CL08414,Quirihue,base.state_cl_16,ur_Chi,base.cl
city_cl_06101,CL06101,Rancagua,state_cl_061,ur_Ran,base.cl
city_cl_08415,CL08415,Ranquil,base.state_cl_16,ur_Chi,base.cl
city_cl_07305,CL07305,Rauco,state_cl_073,ur_Cur,base.cl
city_cl_13127,CL13127,Recoleta,state_cl_131,ur_SaN,base.cl
city_cl_09209,CL09209,Renaico,state_cl_092,ur_Ang,base.cl
city_cl_13128,CL13128,Renca,state_cl_131,ur_SaP,base.cl
city_cl_06115,CL06115,Rengo,state_cl_061,ur_Ran,base.cl
city_cl_06116,CL06116,Requinoa,state_cl_061,ur_Ran,base.cl
city_cl_07405,CL07405,Retiro,state_cl_074,ur_Par,base.cl
city_cl_05303,CL05303,Rinconada,state_cl_053,ur_Lod,base.cl
city_cl_14204,CL14204,Río Bueno,state_cl_142,ur_LaU,base.cl
city_cl_07108,CL07108,Río Claro,state_cl_071,ur_Tac,base.cl
city_cl_04305,CL04305,Río Hurtado,state_cl_043,ur_Ova,base.cl
city_cl_11402,CL11402,Río Ibáñez,state_cl_114,ur_Coy,base.cl
city_cl_10305,CL10305,Río Negro,state_cl_103,ur_Oso,base.cl
city_cl_12103,CL12103,Río Verde,state_cl_121,ur_PuA,base.cl
city_cl_07306,CL07306,Romeral,state_cl_073,ur_Cur,base.cl
city_cl_09116,CL09116,Saavedra,state_cl_091,ur_Tem,base.cl
city_cl_07307,CL07307,Sagrada Familia,state_cl_073,ur_Cur,base.cl
city_cl_04204,CL04204,Salamanca,state_cl_042,ur_Ill,base.cl
city_cl_05601,CL05601,San Antonio,state_cl_056,ur_SaA,base.cl
city_cl_13401,CL13401,San Bernardo,state_cl_134,ur_SaS,base.cl
city_cl_08416,CL08416,San Carlos,base.state_cl_16,ur_Sar,base.cl
city_cl_07109,CL07109,San Clemente,state_cl_071,ur_Tac,base.cl
city_cl_05304,CL05304,San Esteban,state_cl_053,ur_Lod,base.cl
city_cl_08417,CL08417,San Fabián,base.state_cl_16,ur_Sar,base.cl
city_cl_05701,CL05701,San Felipe,state_cl_057,ur_SaF,base.cl
city_cl_06301,CL06301,San Fernando,state_cl_063,ur_SaD,base.cl
city_cl_12104,CL12104,San Gregorio,state_cl_121,ur_PuA,base.cl
city_cl_08418,CL08418,San Ignacio,base.state_cl_16,ur_Chi,base.cl
city_cl_07406,CL07406,San Javier,state_cl_074,ur_Tac,base.cl
city_cl_13129,CL13129,San Joaquín,state_cl_131,ur_SaS,base.cl
city_cl_13203,CL13203,San José de Maipo,state_cl_132,ur_SaS,base.cl
city_cl_10306,CL10306,San Juan de la Costa,state_cl_103,ur_Oso,base.cl
city_cl_13130,CL13130,San Miguel,state_cl_131,ur_SaS,base.cl
city_cl_08419,CL08419,San Nicolás,base.state_cl_16,ur_Sar,base.cl
city_cl_10307,CL10307,San Pablo,state_cl_103,ur_Oso,base.cl
city_cl_13505,CL13505,San Pedro,state_cl_135,ur_SaP,base.cl
city_cl_02203,CL02203,San Pedro de Atacama,state_cl_022,ur_Cal,base.cl
city_cl_08108,CL08108,San Pedro De La Paz,state_cl_081,ur_Cop,base.cl
city_cl_07110,CL07110,San Rafael,state_cl_071,ur_Tac,base.cl
city_cl_13131,CL13131,San Ramón,state_cl_131,ur_SaS,base.cl
city_cl_08310,CL08310,San Rosendo,state_cl_083,ur_Log,base.cl
city_cl_08311,CL08311,Santa Bárbara,state_cl_083,ur_Log,base.cl
city_cl_06310,CL06310,Santa Cruz,state_cl_063,ur_SaZ,base.cl
city_cl_08109,CL08109,Santa Juana,state_cl_081,ur_Cop,base.cl
city_cl_05706,CL05706,Santa María,state_cl_057,ur_SaF,base.cl
